Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-1;2;1-13-5-9-8-4-15-2-12-3-6-11-14-10-7-1;94.92;1-13-5-9-8-4-15-2-12-3-6-11-14-10-7-1;94.92
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-1;3;7-8-11-6-2-4-14-10-15-12-9-3-5-13-1-7;94.48;7-8-11-6-2-4-14-10-15-12-9-3-5-13-1-7;94.48
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-1;4;10-11-5-13-7-15-4-12-2-8-9-6-3-1-14-10;95.73;11-5-13-3-8-15-14-4-7-2-6-12-10-9-1-11;94.21
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-2;1;2-6-4-9-8-14-7-10-15-12-11-13-5-1-3-2;100.87;2-6-4-9-8-14-7-10-15-12-11-13-5-1-3-2;100.87
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-2;2;7-12-5-11-10-14-15-6-4-8-1-13-9-3-2-7;91.57;7-12-5-11-10-14-15-6-4-8-1-13-9-3-2-7;91.57
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-2;3;11-6-3-2-14-7-12-4-8-1-13-5-9-10-15-11;94.46;9-5-13-1-11-8-3-10-14-4-2-7-6-15-12-9;93.36
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-2;4;1-13-9-5-11-6-3-14-7-15-12-4-8-10-2-1;96.04;2-4-7-12-10-5-1-9-3-6-13-11-8-15-14-2;93.66
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-3;1;6-2-8-10-7-4-5-1-14-15-12-3-13-11-9-6;99.65;8-11-5-9-13-6-12-2-3-10-1-14-4-15-7-8;96.9
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-3;2;9-13-1-5-11-4-7-3-2-12-8-14-15-10-6-9;95.53;9-13-1-5-11-4-7-3-2-12-8-14-15-10-6-9;95.53
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-3;3;15-6-3-4-8-9-7-12-2-14-1-11-5-13-10-15;99.89;15-6-3-4-8-9-7-12-2-14-1-11-5-13-10-15;99.89
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP50 PC-3;4;8-13-11-3-9-12-2-4-7-6-15-10-14-5-1-8;92.08;8-13-11-3-9-12-2-4-7-6-15-10-14-5-1-8;92.08
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-1;1;15-2-12-4-10-14-7-6-3-8-1-5-11-13-9-15;78.57;15-2-12-4-10-14-7-6-3-8-1-5-11-13-9-15;78.57
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-1;2;4-10-14-15-12-11-5-1-8-13-3-9-6-7-2-4;85.52;14-10-4-2-12-11-5-1-8-13-3-9-6-7-15-14;82.87
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-1;3;13-11-2-6-7-1-8-14-10-4-15-3-12-9-5-13;92.46;13-11-2-6-7-1-8-14-10-4-15-3-12-9-5-13;92.46
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-1;4;12-2-10-8-14-9-6-11-13-1-5-3-7-4-15-12;93.62;12-2-10-8-14-9-6-11-13-1-5-3-7-4-15-12;93.62
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-2;1;15-1-4-10-7-12-3-13-5-11-14-8-6-9-2-15;106.9;8-1-4-10-7-12-3-13-5-11-14-9-6-2-15-8;96.51
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-2;2;13-5-15-3-6-2-12-9-1-11-8-14-4-10-7-13;96.46;13-5-15-3-6-2-12-9-1-11-8-14-4-10-7-13;96.46
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-2;3;13-5-14-15-2-6-4-10-9-3-8-7-12-1-11-13;98.15;14-1-13-5-11-8-10-12-9-3-7-2-4-6-15-14;94.74
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-2;4;14-12-8-11-9-1-5-13-15-7-2-6-3-4-10-14;89.62;14-12-8-11-9-1-5-13-15-7-2-6-3-4-10-14;89.62
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-3;1;3-6-10-12-7-15-4-2-11-8-1-14-9-5-13-3;93.88;4-8-1-13-11-9-5-10-14-7-6-2-12-3-15-4;86.61
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-3;2;7-8-5-3-12-15-2-6-11-1-13-9-10-4-14-7;101.08;7-8-5-3-12-15-2-6-11-1-13-9-10-4-14-7;101.08
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-3;3;10-5-8-15-4-13-1-11-9-3-7-6-2-12-14-10;97.36;14-10-1-5-2-12-15-7-6-3-13-11-9-4-8-14;93.45
CR-0 PN-100 G-1 PP-5 SM-1 MAX_STEP100 PC-3;4;15-14-10-8-1-9-13-6-4-12-2-7-3-5-11-15;101.43;15-14-10-8-1-13-6-2-12-4-7-9-3-5-11-15;88.06
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1;10-7-12-9-3-2-4-6-15-8-5-1-11-13-14-10;93.79;10-7-12-9-3-2-4-6-15-8-5-1-11-13-14-10;93.79
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2;13-5-11-7-15-14-8-4-6-3-9-10-2-12-1-13;93.48;13-5-11-7-15-14-8-4-6-3-9-10-2-12-1-13;93.48
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3;14-1-11-8-13-5-9-12-3-2-7-15-4-10-6-14;92.97;14-1-11-8-13-5-9-12-3-2-7-15-4-10-6-14;92.97
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4;4-8-3-6-11-5-13-9-12-15-10-2-7-1-14-4;102.61;11-1-6-14-4-10-8-15-2-7-12-3-9-5-13-11;81.7
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1;4-11-5-9-2-6-10-13-1-8-14-12-7-3-15-4;101.63;4-11-5-9-2-6-10-13-1-8-14-12-7-3-15-4;101.63
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2;2-8-11-13-14-10-4-12-1-5-3-9-15-7-6-2;97.71;2-8-11-13-14-10-4-12-1-5-3-9-15-7-6-2;97.71
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3;1-13-4-6-9-5-11-14-8-3-7-2-12-15-10-1;104.57;14-2-12-11-5-13-3-9-4-10-15-6-1-8-7-14;104.36
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4;15-1-13-5-3-9-8-11-14-10-12-7-2-6-4-15;89.15;15-1-13-5-3-9-8-11-14-10-12-7-2-6-4-15;89.15
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1;3-6-9-14-7-2-15-12-8-11-13-5-1-4-10-3;91.74;3-6-9-14-7-2-15-12-8-11-13-5-1-4-10-3;91.74
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2;12-15-3-9-5-1-11-8-13-2-14-7-10-4-6-12;97.21;12-15-3-9-5-1-11-8-13-2-14-7-10-4-6-12;97.21
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3;13-3-9-6-8-1-14-12-7-10-15-2-4-11-5-13;91.95;13-3-9-6-8-1-14-12-7-10-15-2-4-11-5-13;91.95
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4;14-13-8-11-5-1-6-3-9-15-2-12-10-4-7-14;92.21;14-13-8-11-5-1-6-3-9-15-2-12-10-4-7-14;92.21
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1;10-11-1-9-5-13-14-8-4-15-7-3-12-2-6-10;95.91;10-11-1-9-5-13-14-8-4-15-7-3-12-2-6-10;95.91
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2;9-2-4-15-12-7-10-6-3-8-13-11-14-1-5-9;93.68;9-2-4-15-12-7-10-6-3-8-13-11-14-1-5-9;93.68
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3;1-13-5-9-2-3-11-7-12-15-6-4-14-8-10-1;99.7;1-13-5-9-2-3-11-7-12-15-6-4-14-8-10-1;99.7
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4;11-9-8-15-7-10-14-6-3-12-2-4-13-1-5-11;93.99;11-9-8-15-7-10-14-6-3-12-2-4-13-1-5-11;93.99
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1;9-13-8-6-5-1-11-15-7-4-2-12-14-10-3-9;98.77;4-7-12-1-5-13-11-3-9-8-10-14-2-15-6-4;92.59
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;2;3-6-8-4-10-14-11-15-9-5-13-1-2-12-7-3;104.2;5-14-2-6-12-1-11-8-4-10-7-15-3-9-13-5;93.31
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3;6-3-14-2-4-12-7-8-10-11-1-5-9-13-15-6;105.4;7-8-11-5-13-9-15-4-1-14-10-12-6-3-2-7;88.45
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4;3-6-4-14-2-15-10-12-8-1-11-9-7-5-13-3;102.43;14-6-3-15-1-9-13-11-5-8-2-12-10-7-4-14;97.22
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1;10-8-1-11-6-15-2-14-4-7-12-5-3-9-13-10;102.78;4-10-7-8-1-12-6-2-11-9-3-13-5-14-15-4;100.03
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;2;11-1-13-9-5-7-14-8-10-12-2-4-3-6-15-11;100.22;11-1-13-9-5-7-14-8-10-12-2-4-3-6-15-11;100.22
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3;11-9-13-8-1-7-4-12-5-3-6-15-2-14-10-11;106.65;2-12-4-10-14-15-1-8-6-9-5-3-13-11-7-2;96.35
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4;11-1-6-3-15-7-9-4-2-12-10-14-8-5-13-11;89.97;11-1-6-3-15-7-9-4-2-12-10-14-8-5-13-11;89.97
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1;9-6-3-8-11-5-1-13-12-10-4-2-7-15-14-9;94.21;3-4-14-10-2-12-15-7-6-9-5-11-1-13-8-3;83.23
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;9-3-1-8-14-10-4-2-15-12-7-5-13-6-11-9;94.77;11-13-1-8-14-10-4-2-15-12-6-3-7-9-5-11;73.33
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;14-8-6-2-10-15-7-9-13-5-1-11-3-4-12-14;97.48;1-11-3-5-13-9-2-7-15-6-4-12-10-14-8-1;86.26
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;8-1-5-11-13-6-9-12-7-14-3-2-10-15-4-8;92.28;8-1-5-11-13-6-9-12-7-14-3-2-10-15-4-8;92.28
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;12-15-14-6-10-4-7-1-8-5-13-9-3-2-11-12;105.85;11-13-5-9-1-8-14-15-4-7-6-2-10-12-3-11;81.96
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;3-10-4-7-5-9-14-8-1-13-11-6-2-12-15-3;98.08;6-3-7-4-11-5-13-9-14-8-1-10-12-15-2-6;87.73
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;1-4-2-12-10-11-13-8-5-9-3-6-7-15-14-1;90.16;1-4-2-12-10-11-13-8-5-9-3-6-7-15-14-1;90.16
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;13-8-10-15-14-7-12-3-6-9-11-1-5-4-2-13;97.45;13-8-10-15-14-7-12-3-6-9-11-1-5-4-2-13;97.45
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;8-5-11-1-10-15-13-7-4-12-3-9-6-2-14-8;98.92;2-14-12-3-9-1-10-8-11-13-5-15-4-7-6-2;93.13
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;5-12-7-4-10-6-9-14-15-2-3-13-8-1-11-5;96.27;5-12-7-4-10-6-9-14-15-2-3-13-8-1-11-5;96.27
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;8-1-10-13-5-4-14-3-6-12-15-7-2-9-11-8;98.92;8-1-10-13-5-4-14-3-6-12-15-7-2-9-11-8;98.92
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;2-1-14-8-11-10-15-4-3-13-5-9-6-12-7-2;99.27;8-1-4-2-12-10-14-7-15-3-9-13-5-11-6-8;89.74
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;1;5-9-8-4-6-2-14-3-12-7-10-15-1-13-11-5;98.94;5-9-8-4-6-2-14-3-12-7-10-15-1-13-11-5;98.94
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2;8-1-12-7-4-3-14-15-6-2-11-13-5-9-10-8;102.73;9-14-15-12-4-10-5-13-3-6-7-2-1-8-11-9;98.55
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3;14-2-3-6-9-13-12-4-15-1-5-11-10-7-8-14;101.13;3-6-4-15-10-11-9-5-1-8-13-12-7-14-2-3;95.59
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4;11-8-10-15-4-6-14-12-7-2-1-9-3-13-5-11;93.89;11-8-10-15-4-6-14-12-7-2-1-9-3-13-5-11;93.89
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1;8-14-3-6-15-12-1-5-13-9-4-7-2-10-11-8;103.94;8-14-3-6-15-12-1-5-13-9-4-7-2-10-11-8;103.94
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2;3-6-15-7-2-4-14-8-9-13-11-12-10-1-5-3;96.13;3-6-15-7-2-4-14-8-9-13-11-12-10-1-5-3;96.13
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3;15-9-6-3-2-10-4-12-7-5-1-13-11-8-14-15;86.76;15-9-6-3-2-10-4-12-7-5-1-13-11-8-14-15;86.76
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4;14-4-10-11-8-7-2-12-15-6-9-3-5-1-13-14;95.29;14-4-10-11-8-7-2-12-15-6-9-3-5-1-13-14;95.29
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1;6-14-2-15-7-8-1-11-5-13-10-4-12-3-9-6;85.84;6-14-2-15-7-8-1-11-5-13-10-4-12-3-9-6;85.84
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2;7-11-1-2-8-12-14-10-4-15-13-5-9-3-6-7;99.24;7-11-1-2-8-12-14-10-4-15-13-5-9-3-6-7;99.24
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3;14-11-13-1-9-3-2-6-5-15-4-7-8-10-12-14;98.59;11-13-6-12-2-7-14-10-15-5-1-9-3-4-8-11;97.71
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4;12-14-9-3-10-4-8-2-6-11-5-13-1-15-7-12;98.49;12-14-9-3-10-4-8-2-6-11-5-13-1-15-7-12;98.49
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1;10-14-12-9-13-1-8-3-5-11-7-6-2-15-4-10;95.67;10-14-12-9-13-1-8-3-5-11-7-6-2-15-4-10;95.67
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2;13-1-11-8-14-10-4-5-12-2-3-7-15-6-9-13;94.19;13-1-11-8-14-10-4-5-12-2-3-7-15-6-9-13;94.19
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3;14-11-3-5-13-1-9-8-15-10-2-6-12-4-7-14;102.63;14-11-3-5-13-1-9-8-15-10-2-6-12-4-7-14;102.63
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4;11-13-2-6-7-5-1-8-15-14-10-4-12-3-9-11;92.49;11-13-2-6-7-5-1-8-15-14-10-4-12-3-9-11;92.49
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1;15-7-4-10-9-5-1-11-14-8-3-13-6-2-12-15;95.96;15-7-4-10-9-5-1-11-14-8-3-13-6-2-12-15;95.96
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;2;7-15-10-14-12-8-2-6-4-1-3-9-5-11-13-7;99.51;7-15-10-14-12-8-2-6-4-1-3-9-5-11-13-7;99.51
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3;11-5-6-2-15-4-12-3-7-9-13-1-14-10-8-11;95.07;1-8-14-10-2-4-7-9-6-12-3-15-5-13-11-1;92.52
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4;3-6-9-2-8-11-13-1-5-4-10-12-15-14-7-3;94.23;3-6-9-2-8-11-13-1-5-4-10-12-15-14-7-3;94.23
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1;11-13-2-12-8-7-14-9-3-6-15-10-4-1-5-11;97.18;8-11-10-14-4-2-12-3-6-9-1-13-5-7-15-8;91.16
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;2;4-15-13-11-8-14-12-2-9-5-1-3-6-7-10-4;89.6;4-15-13-11-8-14-12-2-9-5-1-3-6-7-10-4;89.6
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3;2-1-5-13-9-7-10-14-8-11-12-15-4-3-6-2;93.31;2-1-5-13-9-7-10-14-8-11-12-15-4-3-6-2;93.31
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4;4-15-3-5-13-6-2-12-10-7-9-11-8-1-14-4;96.38;3-6-11-13-1-5-8-14-9-2-10-12-7-15-4-3;94.11
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1;2-13-5-1-14-15-4-8-10-11-7-12-6-3-9-2;99.57;10-13-9-8-11-1-5-3-6-14-4-12-2-7-15-10;89.77
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;12-13-11-5-2-3-10-14-15-6-9-8-1-4-7-12;102.73;5-1-14-8-9-13-11-3-2-12-10-4-15-7-6-5;92
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;1-14-13-11-15-12-2-3-6-10-8-4-7-9-5-1;100.48;8-9-13-11-3-6-15-4-12-14-10-7-2-1-5-8;93.39
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;10-8-9-6-3-5-13-11-14-1-2-7-4-15-12-10;90.18;3-11-5-13-9-1-14-8-10-15-7-12-4-2-6-3;75.45
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;4-8-5-11-1-13-10-3-2-14-12-6-9-15-7-4;103.35;2-7-4-15-11-1-5-8-13-3-9-6-14-10-12-2;90.51
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;7-15-10-8-12-6-4-3-5-13-11-9-1-14-2-7;100.9;5-9-8-14-10-4-6-11-1-13-3-2-7-12-15-5;96.44
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;3-14-4-8-10-11-9-5-13-1-2-15-7-6-12-3;104.53;12-10-5-13-14-7-4-1-11-8-15-6-3-9-2-12;96.97
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;2-8-10-5-13-11-9-3-12-14-1-4-7-15-6-2;96.81;2-6-4-9-3-1-11-13-5-14-8-7-12-15-10-2;91.63
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;14-7-4-10-5-9-3-11-1-13-6-12-2-15-8-14;92.81;14-7-4-10-5-9-3-11-1-13-6-12-2-15-8-14;92.81
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;10-7-15-8-9-12-2-6-4-14-1-13-5-11-3-10;99.21;3-1-8-10-7-12-15-4-14-13-5-11-2-6-9-3;81.4
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;5-6-9-15-3-12-10-4-2-7-14-8-11-13-1-5;98.76;5-6-4-10-3-9-12-7-2-14-15-8-1-13-11-5;92.24
CR-0 PN-100 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;11-5-12-15-4-2-13-9-3-10-14-7-6-8-1-11;98.53;13-3-6-9-5-4-7-15-10-8-14-1-12-2-11-13;97.19
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-1;1;6-11-1-8-4-10-13-5-9-12-2-3-15-14-7-6;99.26;6-11-1-8-4-10-13-5-9-12-2-3-15-14-7-6;99.26
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-1;2;9-6-2-4-10-7-15-12-11-13-3-1-5-8-14-9;99.9;9-6-2-4-10-7-15-12-11-13-3-1-5-8-14-9;99.9
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-1;3;5-13-8-14-2-10-9-11-3-6-4-7-15-12-1-5;100.49;5-13-8-14-2-10-9-11-3-6-4-7-15-12-1-5;100.49
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-1;4;13-3-9-14-1-11-8-2-12-6-15-4-7-10-5-13;99.33;14-11-1-5-13-2-6-3-15-10-8-9-4-12-7-14;97.07
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-2;1;5-7-15-10-14-9-8-1-11-13-3-6-12-4-2-5;97.35;5-7-15-10-14-9-8-1-11-13-3-6-12-4-2-5;97.35
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-2;2;4-7-2-12-5-3-9-1-10-15-6-13-11-14-8-4;106.96;3-13-11-1-5-6-15-2-12-9-14-10-4-8-7-3;106.28
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-2;3;4-2-12-6-15-8-7-14-13-1-11-5-9-3-10-4;94.15;9-3-12-2-6-5-1-13-11-4-15-14-8-7-10-9;94
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-2;4;4-10-9-15-2-14-12-3-6-1-13-11-5-8-7-4;103.76;4-10-9-15-2-14-12-3-6-1-13-11-5-8-7-4;103.76
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-3;1;6-2-8-7-4-5-9-11-1-13-12-15-14-10-3-6;98.92;13-5-9-14-2-10-4-8-1-7-15-12-3-6-11-13;93.57
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-3;2;8-6-12-15-2-4-9-11-13-5-1-3-7-10-14-8;97.39;8-6-12-15-2-4-9-11-13-5-1-3-7-10-14-8;97.39
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-3;3;11-5-13-9-14-8-2-12-3-4-15-6-10-7-1-11;104.95;11-5-13-9-14-8-2-12-3-4-15-6-10-7-1-11;104.95
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP10 PC-3;4;10-1-12-7-14-3-5-13-9-11-8-15-2-6-4-10;104.28;10-1-12-7-14-3-5-13-9-11-8-15-2-6-4-10;104.28
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-1;1;6-3-13-11-4-15-12-9-8-14-1-5-2-7-10-6;107.8;11-13-4-10-6-7-8-1-14-12-2-15-9-3-5-11;101.78
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-1;2;2-11-8-1-13-5-14-15-4-10-9-3-6-7-12-2;83.86;2-11-8-1-13-5-14-15-4-10-9-3-6-7-12-2;83.86
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-1;3;12-5-9-10-4-7-3-2-13-11-1-8-14-15-6-12;101.06;12-5-9-10-4-7-3-2-13-11-1-8-14-15-6-12;101.06
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-1;4;11-1-10-4-14-2-5-9-13-8-3-6-12-15-7-11;101.24;7-6-2-3-5-8-12-11-13-1-9-14-10-15-4-7;99.55
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-2;1;5-8-9-1-11-14-10-15-3-4-2-6-12-7-13-5;105.81;5-8-9-1-11-14-10-15-3-4-2-6-12-7-13-5;105.81
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-2;2;15-7-5-13-1-2-4-10-14-8-12-11-9-3-6-15;97.15;2-4-15-1-5-13-9-11-14-8-10-12-7-3-6-2;87.12
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-2;3;6-9-2-10-8-14-5-11-13-1-3-7-4-15-12-6;93.64;6-9-2-10-8-14-5-11-13-1-3-7-4-15-12-6;93.64
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-2;4;1-14-12-15-4-11-13-5-9-7-10-8-3-6-2-1;96.67;1-14-12-15-4-11-13-5-9-7-10-8-3-6-2-1;96.67
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-3;1;3-5-8-11-1-6-2-10-7-15-12-4-14-9-13-3;100.65;4-13-5-11-1-6-2-10-7-15-12-8-14-9-3-4;97.89
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-3;2;12-6-3-5-14-8-11-13-1-9-15-2-4-7-10-12;95.87;12-6-3-5-14-8-11-13-1-9-15-2-4-7-10-12;95.87
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-3;3;3-6-1-11-8-15-4-7-14-13-5-9-12-10-2-3;94.64;3-6-1-11-8-15-4-7-14-13-5-9-12-10-2-3;94.64
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP50 PC-3;4;3-9-5-13-8-11-12-4-10-14-6-1-15-2-7-3;103.64;12-2-6-3-1-14-10-9-5-11-7-15-8-13-4-12;102.04
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP100 PC-1;1;8-10-6-3-13-5-1-4-7-12-2-15-14-9-11-8;92.92;8-10-6-3-13-5-1-4-7-12-2-15-14-9-11-8;92.92
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP100 PC-1;2;3-1-14-15-4-5-9-13-11-8-10-12-7-2-6-3;85.57;6-9-13-5-15-4-14-2-12-7-10-8-11-1-3-6;83.19
CR-0 PN-100 G-1 PP-10 SM-1 MAX_STEP100 PC-1;3;11-13-3-12-7-15-8-2-6-10-4-14-9-5-1-11;93.05;11-13-3-12-7-15-8-2-6-10-4-14-9-5-1-11;93.05
