Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;4;10-4-14-7-11-1-8-3-5-12-13-15-2-6-9-10;125.18;3-6-12-15-2-9-10-4-7-14-1-11-8-5-13-3;90.66
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1;6-12-1-5-13-10-14-7-2-8-11-15-4-9-3-6;102.43;6-12-1-5-13-10-14-7-2-8-11-15-4-9-3-6;102.43
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;2;3-15-9-12-10-8-4-14-1-13-2-6-7-11-5-3;122.82;8-14-13-11-15-5-1-7-9-3-2-6-12-4-10-8;108.94
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3;2-7-6-3-10-14-15-4-5-9-13-11-12-8-1-2;102.81;2-7-6-3-10-14-15-4-5-9-13-11-12-8-1-2;102.81
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4;14-2-13-5-11-1-10-15-8-12-7-4-3-9-6-14;99.3;14-2-13-5-11-1-10-15-8-12-7-4-3-9-6-14;99.3
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1;15-4-10-1-13-12-5-3-2-9-14-11-8-6-7-15;125.74;12-8-14-5-10-4-7-6-3-13-11-9-2-1-15-12;113.97
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2;5-6-10-14-12-15-3-13-11-1-9-7-4-2-8-5;111.33;2-7-6-14-12-15-3-13-11-1-9-5-8-10-4-2;98.19
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3;5-2-15-12-6-4-14-7-13-9-3-10-11-1-8-5;110.39;5-2-15-12-6-4-14-7-13-9-3-10-11-1-8-5;110.39
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4;9-6-15-7-14-4-3-2-10-1-8-12-13-11-5-9;98.52;9-6-15-7-14-4-3-2-10-1-8-12-13-11-5-9;98.52
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1;15-4-2-3-14-7-13-9-6-5-11-10-12-1-8-15;116.71;9-6-12-15-4-14-2-7-3-10-11-5-8-1-13-9;95.29
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2;15-12-7-1-2-10-3-6-5-8-11-9-13-14-4-15;111.97;7-12-2-6-3-5-13-8-11-1-14-15-10-4-9-7;85.03
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3;4-14-11-9-13-8-6-5-1-12-10-3-7-15-2-4;121.27;8-5-13-11-2-6-1-3-7-14-10-15-4-12-9-8;105.97
